epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,27040.6,0.34739,0.24998,0.97906,0.94105,0.93913,0.97669,0.93707,0.30439,0.27115,0.89838,0.00393986,0.00393986,0.00393986
145,27228.1,0.34588,0.25033,0.97468,0.94109,0.938,0.97668,0.93673,0.30383,0.27206,0.89776,0.00387933,0.00387933,0.00387933
146,27415.6,0.34576,0.25248,0.97736,0.94153,0.93703,0.97686,0.9371,0.30374,0.27124,0.89752,0.00381899,0.00381899,0.00381899
147,27603.1,0.34424,0.24908,0.978,0.93881,0.94391,0.97704,0.93695,0.30366,0.26988,0.89765,0.00375883,0.00375883,0.00375883
148,27790.6,0.34449,0.2474,0.97599,0.93843,0.94496,0.97707,0.93713,0.3039,0.26919,0.89806,0.00369889,0.00369889,0.00369889
149,27978,0.34167,0.24575,0.97621,0.93836,0.94563,0.97743,0.93739,0.30408,0.26849,0.89849,0.00363915,0.00363915,0.00363915
150,28165.6,0.33901,0.2474,0.97581,0.93919,0.9448,0.9774,0.93741,0.30414,0.26681,0.89897,0.00357964,0.00357964,0.00357964
151,28353.3,0.34166,0.24455,0.97699,0.9373,0.94467,0.97759,0.93786,0.30386,0.26681,0.89895,0.00352037,0.00352037,0.00352037
152,28540.9,0.33747,0.24514,0.96936,0.93691,0.94573,0.97768,0.93834,0.30379,0.26616,0.89902,0.00346133,0.00346133,0.00346133
153,28728.5,0.33754,0.2457,0.97279,0.9554,0.93144,0.97773,0.9381,0.30353,0.26742,0.89912,0.00340254,0.00340254,0.00340254
154,28916,0.33175,0.2356,0.9693,0.95515,0.93215,0.97782,0.93809,0.30329,0.26747,0.89935,0.00334402,0.00334402,0.00334402
155,29103.4,0.33361,0.24167,0.96753,0.95576,0.9314,0.97791,0.9382,0.30346,0.26756,0.89961,0.00328576,0.00328576,0.00328576
156,29290.8,0.33194,0.23692,0.96827,0.95605,0.93085,0.97782,0.93783,0.30352,0.26712,0.89937,0.00322778,0.00322778,0.00322778
157,29478.3,0.32832,0.23381,0.96538,0.95851,0.93084,0.97824,0.93826,0.3035,0.26771,0.89941,0.00317009,0.00317009,0.00317009
158,29665.7,0.32769,0.23304,0.96395,0.95855,0.93093,0.97822,0.93824,0.3033,0.26799,0.89898,0.0031127,0.0031127,0.0031127
159,29853.2,0.32699,0.23205,0.9634,0.95819,0.92974,0.97816,0.93865,0.30299,0.26693,0.8986,0.00305561,0.00305561,0.00305561
160,30040.9,0.32664,0.23216,0.96625,0.95796,0.92992,0.97781,0.93839,0.3026,0.26775,0.89826,0.00299884,0.00299884,0.00299884
161,30228.5,0.32414,0.23168,0.96473,0.95832,0.93088,0.97795,0.93847,0.30257,0.26842,0.89828,0.00294239,0.00294239,0.00294239
162,30416,0.32536,0.22907,0.96537,0.95854,0.93084,0.97779,0.93788,0.30255,0.26782,0.89833,0.00288628,0.00288628,0.00288628
163,30603.5,0.32356,0.22846,0.96373,0.95792,0.93103,0.97732,0.9373,0.30255,0.26848,0.89846,0.0028305,0.0028305,0.0028305
164,30790.9,0.31641,0.22305,0.95865,0.9578,0.9309,0.97729,0.93711,0.30259,0.26874,0.89815,0.00277508,0.00277508,0.00277508
165,30978.3,0.31579,0.22323,0.95741,0.93884,0.94922,0.9774,0.93772,0.30212,0.26967,0.8977,0.00272002,0.00272002,0.00272002
166,31165.8,0.31761,0.22514,0.95841,0.93912,0.94967,0.97705,0.9374,0.30237,0.26987,0.89813,0.00266532,0.00266532,0.00266532
167,31353.4,0.31699,0.22155,0.95602,0.93895,0.95031,0.97706,0.93715,0.30229,0.27048,0.89825,0.002611,0.002611,0.002611
168,31540.8,0.31634,0.22333,0.95699,0.9376,0.95114,0.97701,0.93705,0.3021,0.26961,0.89813,0.00255707,0.00255707,0.00255707
169,31728.5,0.30915,0.22093,0.95475,0.93749,0.9507,0.97704,0.93697,0.30182,0.27068,0.89735,0.00250352,0.00250352,0.00250352
170,31916,0.31149,0.21677,0.95338,0.93697,0.95099,0.97694,0.9369,0.30138,0.27099,0.89671,0.00245039,0.00245039,0.00245039
171,32103.6,0.30946,0.21767,0.95589,0.93416,0.9504,0.97698,0.93754,0.3014,0.27145,0.89686,0.00239766,0.00239766,0.00239766
172,32290.9,0.30794,0.21779,0.95262,0.93364,0.95052,0.97643,0.9368,0.30152,0.27245,0.89717,0.00234535,0.00234535,0.00234535
173,32478.5,0.30497,0.21415,0.95021,0.93277,0.95072,0.9762,0.93609,0.3016,0.27427,0.89752,0.00229347,0.00229347,0.00229347
174,32666.1,0.30437,0.21424,0.94857,0.93247,0.95043,0.97614,0.93613,0.30162,0.27499,0.89781,0.00224202,0.00224202,0.00224202
175,32853.6,0.30774,0.21545,0.95294,0.9324,0.9502,0.97608,0.936,0.30167,0.2766,0.89803,0.00219102,0.00219102,0.00219102
176,33041.1,0.30432,0.21439,0.95289,0.95236,0.93103,0.97607,0.93599,0.30183,0.27713,0.89837,0.00214046,0.00214046,0.00214046
177,33228.8,0.2998,0.21048,0.94852,0.95205,0.93083,0.97551,0.93539,0.30198,0.27664,0.8986,0.00209037,0.00209037,0.00209037
178,33416.2,0.29484,0.20844,0.94467,0.95294,0.92918,0.97558,0.93554,0.30213,0.27708,0.89865,0.00204075,0.00204075,0.00204075
179,33603.7,0.2969,0.20827,0.94606,0.93353,0.94848,0.97562,0.93575,0.30251,0.27824,0.89945,0.00199159,0.00199159,0.00199159
